tweet_clean,Tweet
"['final', 'dokumen', 'sidang', 'ganti', 'wali', 'anak', 'almh', 'farah berita', 'lengkap', 'silah', 'klik', 'link']",final dokumen sidang ganti wali anak almh farah berita lengkap silah klik link
"['g', 'empower', 'gelar', 'plenary', 'meeting', 'yogyakarta', 'dorong', 'kontribusi', 'peran', 'perempuan']",g empower gelar plenary meeting yogyakarta dorong kontribusi peran perempuan
"['gera', 'nasional', 'literasi', 'digital', 'digital', 'talent', 'scholarship', 'digital', 'leadership', 'academy', 'program', 'kartu', 'prakerjalpsi']",gera nasional literasi digital digital talent scholarship digital leadership academy program kartu prakerjalpsi
"['giat', 'bahas', 'tantang', 'upaya', 'kuat', 'produktivitas', 'daya', 'saing']",giat bahas tantang upaya kuat produktivitas daya saing
"['gila', 'bencong', 'nari', 'tonton', 'pikirin', 'tuh', 'ancam', 'event', 'g', 'bal', 'indonesia']",gila bencong nari tonton pikirin tuh ancam event g bal indonesia
"['gila', 'lo', 'ga', 'bahas', 'perang', 'rusia', 'ukraina', 'g', 'formula', 'e', 'urus', 'bang', 'mending', 'lo', 'nonton']",gila lo ga bahas perang rusia ukraina g formula e urus bang mending lo nonton
"['guna', 'kendara', 'listrik', 'salah', 'strategi', 'capai', 'target', 'indonesia', 'turun', 'emisi']",guna kendara listrik salah strategi capai target indonesia turun emisi
"['hai', 'sohisebagai', 'temu', 'konferensi', 'internasional', 'imf', 'world', 'bank', 'ktt', 'g']",hai sohisebagai temu konferensi internasional imf world bank ktt g
"['halo', 'sobatkom', 'bentuk', 'g', 'tuju', 'wujud', 'tumbuh', 'global', 'kuat', 'lanjut', 'lantas']",halo sobatkom bentuk g tuju wujud tumbuh global kuat lanjut lantas
"['halo', 'sobatkom', 'indonesia', 'resmi', 'pegang', 'presidensi', 'g', 'penuh', 'manfaat']",halo sobatkom indonesia resmi pegang presidensi g penuh manfaat
"['happy', 'vesak', 'day pray', 'for', 'peace', 'and', 'harmony', 'on', 'this', 'auspicious', 'day selamat', 'raya', 'waisak', 'be']",happy vesak day pray for peace and harmony on this auspicious day selamat raya waisak be
"['hardiknas', 'rutan', 'jeneponto', 'gelar', 'upacara', 'bendera', 'ingat', 'didik', 'nasional', 'lengkap', 'baca', '']",hardiknas rutan jeneponto gelar upacara bendera ingat didik nasional lengkap baca
"['hubung', 'bonus', 'demografi', 'loh', 'lpsindonesia', 'amanadalps', 'lpsamanadat', 'sa']",hubung bonus demografi loh lpsindonesia amanadalps lpsamanadat sa
"['ikut', 'kembang', 'informasi', 'kini', 'putar', 'laksana', 'dewg', 'media', 'sosial', 'ya', 'xgindonesia']",ikut kembang informasi kini putar laksana dewg media sosial ya xgindonesia
"['ikut', 'kembang', 'informasi', 'kini', 'putar', 'laksana', 'dewg', 'media', 'sosial', 'ya', 'xgindonesia', 'pulihbersama']",ikut kembang informasi kini putar laksana dewg media sosial ya xgindonesia pulihbersama
"['indonesia', 'gpedia', 'lapang', 'kerja', 'lanjut', 'agenda', 'x', 'g']",indonesia gpedia lapang kerja lanjut agenda x g
"['indonesia', '', 'indonesiajuara', 'indonesiahebatindonesiadamai']",indonesia indonesiajuara indonesiahebatindonesiadamai
"['indonesia', 'peluang', 'untukrewriting', 'global', 'ev', 'and', 'esg', 'supply', 'chain', 'xd', 'kombinasi', 'sumber', 'daya', 'alam', 'indust']",indonesia peluang untukrewriting global ev and esg supply chain xd kombinasi sumber daya alam indust
"['inklusi', 'uang', 'transformasi', 'digital', 'ya maka', 'topik']",inklusi uang transformasi digital ya maka topik
"['insinyur', 'usaha', 'kagum', 'nikmat', 'sempat', 'langka', 'kunjung']",insinyur usaha kagum nikmat sempat langka kunjung
"['joget', 'kaya', 'bencong', 'aja', 'yg', 'nonton', 'org', 'indo', 'mikir', 'ancam', 'event']",joget kaya bencong aja yg nonton org indo mikir ancam event
"['jokowi', 'effect', 'harga', 'sawit', 'rekor', 'tinggi', 'minyakgoreng', 'cpo', 'sawit', 'indonesia', 'g', 'gindonesia']",jokowi effect harga sawit rekor tinggi minyakgoreng cpo sawit indonesia g gindonesia
"['jubir', 'g', 'maudy', 'ayunda', 'fokus', 'utama', 'isu', 'energi', 'gindonesia', 'maudyayunda', 'jernihkanharapan', 'kompascom']",jubir g maudy ayunda fokus utama isu energi gindonesia maudyayunda jernihkanharapan kompascom
"['kasihan', 'teman', 'dar', 'lilit', 'karet', 'gelang', 'plastik', 'tubuh', 'susut', 'tekuk', 'karet', 't']",kasihan teman dar lilit karet gelang plastik tubuh susut tekuk karet t
"['kawal', 'programkerja', 's', 'd', '', 'baik', 'bangsa', 'negara', 'gindonesia', 'sayabersamajokowi', 'ht']",kawal programkerja s d baik bangsa negara gindonesia sayabersamajokowi ht
"['kemendikbud', 'inisiasi', 'diskusi', 'baru', 'komitmen', 'global', 'tingkat', 'didik']",kemendikbud inisiasi diskusi baru komitmen global tingkat didik
"['kemendikbud', 'inisiasi', 'diskusi', 'baru', 'komitmen', 'global', 'tingkat', 'didik', 'unit']",kemendikbud inisiasi diskusi baru komitmen global tingkat didik unit
"['kemendikbudristek', 'tekan', 'transformasi', 'bas', 'gotong', 'royong', 'pulih', 'didik', 'g']",kemendikbudristek tekan transformasi bas gotong royong pulih didik g
"['keren', 'bangetmas', 'memtri', 'program', 'merdeka', 'belajarnyagindonesia', 'presidensiindonesia']",keren bangetmas memtri program merdeka belajarnyagindonesia presidensiindonesia
