,tweet_tokens_WSW
52,"['hai', 'sohisebagai', 'pertemuan', 'konferensi', 'internasional', 'imf', 'world', 'bank', 'ktt']"
53,"['langsung', 'mendorong', 'perubahan', 'ukm', 'konvensional', 'digital', 'peran', 'teknologi']"
54,"['halo', 'sobatkom', 'indonesia', 'resmi', 'memegang', 'presidensi', 'penuh', 'manfaat']"
55,"['halo', 'sobatkom', 'pembentukan', 'bertujuan', 'mewujudkan', 'pertumbuhan', 'global', 'kuat', 'berkelanjutan', 'lantas']"
56,"['happy', 'vesak', 'daypray', 'for', 'peace', 'and', 'harmony', 'on', 'this', 'auspicious', 'dayselamat', 'raya', 'waisak', 'be']"
57,"['turnamen', 'final', 'arena', 'dr', 'zomboss', 'muncul', 'kembalipvz', 'arena', 'pennyspursuit', 'gindonesia']"
58,"['indonesia', 'gpedia', 'lapangan', 'kerja', 'berkelanjutan', 'agenda']"
59,"['indonesia', 'peluang', 'untukrewriting', 'global', 'ev', 'and', 'esg', 'supply', 'chain', 'xd', 'kombinasi', 'sumber', 'daya', 'alam', 'indust']"
60,"['diskusi', 'aspirasi', 'delegasi', 'negara', 'kemendikbudristek', 'ikuti', 'informasi']"
61,"['kelanjutan', 'kunjungan', 'menko', 'luhut', 'binsar', 'pandjaitan', 'dubes', 'rosan', 'roeslani', 'minggu']"
62,"['wargi', 'membantu', 'komunitas', 'lokal', 'menghadapi', 'tantangan', 'pemulihan', 'ekonomi', 'sosial']"
63,"['lewatkan', 'kuliah', 'peran', 'aktif', 'indonesia', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusiaukrain']"
64,"['jokowi', 'effect', 'harga', 'sawit', 'rekor', 'tertinggi', 'minyakgoreng', 'cpo', 'sawit', 'indonesia', 'gindonesia']"
65,"['jubir', 'maudy', 'ayunda', 'fokus', 'utama', 'isu', 'energi', 'gindonesia', 'maudyayunda', 'jernihkanharapan', 'kompascom']"
66,"['presidensi', 'gindonesia', 'menekankan', 'perluasan', 'akses', 'keuangan', 'meningkatkan', 'inklusi', 'keuangan']"
67,"['kasihan', 'teman', 'sedari', 'terlilit', 'karet', 'gelang', 'plastik', 'tubuhnya', 'menyusut', 'tertekuk', 'karet']"
68,"['kawal', 'programkerja', 'kebaikan', 'bangsa', 'negara', 'gindonesia', 'sayabersamajokowi', 'ht']"
69,"['keberanian', 'presiden', 'tolak', 'intervensi', 'us', 'undang', 'rusia', 'ukraina', 'gindonesia', 'sorotan', 'media', 'dunia']"
70,"['kegiatan', 'membahas', 'tantangan', 'upaya', 'memperkuat', 'produktivitas', 'daya', 'saing']"
71,"['kemendikbudristek', 'menekankan', 'transformasi', 'berbasis', 'gotong', 'royong', 'pemulihan', 'pendidikan']"
72,"['kominfo', 'membuka', 'sidang', 'dewg', 'presidensi', 'indonesia', 'saj']"
73,"['kuliah', 'umumperan', 'aktif', 'indonesia', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusiaukraina', 'xd', 'inaugurasi']"
74,"['lapor', 'cewe', 'bego', 'bencong', 'joget', 'disuka', 'perang', 'event', 'bali', 'ind']"
75,"['lemhanas', 'siapkan', 'skenario', 'pembahasan', 'ekonomi', 'global', 'forum']"
76,"['main', 'tebaktebakan', 'yuk', 'rekanaker', 'isu', 'prioritas', 'dibahas', 'employment', 'working', 'group', 'ewg', 'meeting', 'gindon']"
77,"['mangrove', 'forest', 'area', 'tahura', 'ngurah', 'rai', 'telaga', 'waja', 'benoa', 'bay', 'nusa', 'bali', 'recovertogetherrecoverstronger']"
78,"['mantuul', 'makanan', 'dihidangkan', 'menarik', 'paduan', 'warna', 'mengundang', 'perhatian', 'delegasi']"
79,"['mari', 'dukung', 'penuh', 'pertemuan', 'empower', 'menjadikan', 'perempuan', 'katalisator', 'pembangunan', 'ek']"
80,"['mari', 'dukung', 'penuh', 'pertemuan', 'empower', 'menjadikan', 'perempuan', 'katalisator', 'pembangunan', 'ekonomi', 'dunia']"
81,"['inklusi', 'keuangan', 'transformasi', 'digital', 'yamaka', 'topik']"
82,"['terobosan', 'merdeka', 'belajar', 'pemulihan', 'pembelajaran', 'menghadirkan', 'kuriku']"
83,"['melanjutkan', 'pertemuan', 'perdana', 'education', 'working', 'group', 'edwg', 'maret', 'kemendikbudristek']"
84,"['mendikbud', 'ristek', 'nadiem', 'makarim', 'memperkenalkan', 'program', 'merdeka', 'belajar', 'negaranegara']"
85,"['mendikbudristek', 'terobosan', 'merdeka', 'belajar', 'pertemuan', 'edwg', 'gindonesia', 'presiden']"
86,"['menindaklanjuti', 'st', 'edmcswg', 'yogyakarta', 'pertemuan', 'dilaksanakan', 'jakarta', 'tang']"
87,"['menkominfo', 'johnny', 'plate', 'pemerintah', 'berkoordinasi', 'anggota', 'partner', 'lokal', 'globa']"
88,"['menkominfo', 'berharap', 'sidang', 'dewg', 'menghasilkan', 'kesepakatan', 'terbaik', 'delegasi', 'memiliki']"
89,"['menkominfo', 'sidang', 'dewg', 'berjalan', 'lancar', 'fokus', 'pemahaman', 'meleng']"
90,"['menparekraf', 'berpesan', 'kedepannya', 'berkolaborasi', 'membangun', 'pariwisata', 'berkelanjutan', 'mengedepa']"
91,"['menteri', 'keuangan', 'sri', 'mulyani', 'pertemuan', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg']"
92,"['menteri', 'komunikasi', 'informatika', 'johnny', 'plate', 'menyambut', 'delegasi', 'negara', 'anggota', 'hadir']"
93,"['coba', 'tulis', 'harapanmu', 'presidensi', 'indonesia', 'kolom', 'komentar', 'xgindonesia', 'pulihbersama']"
94,"['narahubung', 'makincakapdigital', 'cfdsbagiilmu', 'eventmahasiswa', 'eventjogja', 'eventonline']"
95,"['bekerjasama', 'sinarmas', 'land', 'mengadakan', 'side', 'event', 'temaac']"
96,"['one', 'global', 'women', 'empowerment', 'ogwe', 'platform', 'dirancang', 'pengusaha', 'perempuan', 'didu']"
97,"['prakarsa', 'anggota', 'memandang', 'perlindungan', 'adaptif', 'pekerja', 'informal', 'diperluas', 'penin']"
98,"['menyelenggarakan', 'seminar', 'internasional', 'side', 'event', 'gindonesi']"
