,tweet_tokens
37,"['dalam', 'rangka', 'meningkatkan', 'upaya', 'strategis', 'gabungan', 'untuk', 'mempercepat', 'transisi', 'energi', 'mengurangi', 'emisi', 'karbon', 'yang']"
38,"['dalam', 'rangka', 'mewujudkan', 'upaya', 'global', 'untuk', 'dapat', 'pulihbersama', 'dan', 'menciptakan', 'pendidikan', 'berkualitas', 'di', 'seluruh', 'dunia']"
39,"['delegasi', 'dewg', 'berupaya', 'atasi', 'kesenjangan', 'digital', 'dengan', 'membahas', 'perangkat', 'untuk', 'mengukur', 'keterampilan', 'dan', 'lite']"
40,"['demikian', 'mengemuka', 'pada', 'pertemuan', 'nd', 'global', 'partnership', 'for', 'financial', 'inclusion', 'plenary', 'meeting', 'yang', 'diselenggarak']"
41,"['di', 'masa', 'kini', 'dana', 'ini', 'berfungsi', 'untuk', 'mendukung', 'ketahanan', 'dan', 'stabilitas', 'ekonomi', 'demi', 'pulihbersama', 'asobat', 'pantau']"
42,"['di', 'tahun', 'penduduk', 'usia', 'produktif', 'tahun', 'di', 'akan', 'lebih', 'besar', 'dibanding', 'usia', 'nonproduktif']"
43,"['digitalisasi', 'sektor', 'keuangan', 'merupakan', 'salah', 'satu', 'game', 'changer', 'bagi', 'dunia', 'dalam', 'upaya', 'pulihbersama', 'akibat', 'pandemi', 'covi']"
44,"['direktur', 'utama', 'rumah', 'sakit', 'pusat', 'infeksi', 'sulianti', 'saroso', 'dr', 'mohammad', 'syahril', 'resmi', 'menjadi', 'juru', 'bicara', 'kemenkes']"
45,"['dua', 'pencapaian', 'sudah', 'diraih', 'namun', 'masih', 'ada', 'agenda', 'prioritas', 'edwg', 'lainnya', 'yang', 'akan', 'dibahas', 'yaitu', 'solidaritas']"
46,"['dukungan', 'terhadap', 'umkmgodigitalgoglobal', 'menjadi', 'pembahasan', 'utama', 'kki', 'tahun', 'ini', 'selain', 'itu', 'kegiatan', 'ini', 'juga']"
47,"['dunia', 'pendidikan', 'mengalami', 'masalah', 'pada', 'dua', 'tahun', 'terakhir', 'pandemi', 'covid', 'salah', 'satu', 'masalah', 'yang', 'menjadi', 'perhat']"
48,"['era', 'indonesia', 'berjalan', 'dengan', 'bangga', 'dan', 'kepala', 'tegak', 'dihadapan', 'bangsa', 'lain', 'dan', 'tidak', 'tertunduk', 'tapi', 'tegak', 'in']"
49,"['finalisasi', 'dokumen', 'untuk', 'persidangan', 'pergantian', 'perwalian', 'anak', 'almh', 'farahberita', 'selengkapnya', 'silahkan', 'klik', 'link']"
50,"['empower', 'gelar', 'plenary', 'meeting', 'kedua', 'di', 'yogyakarta', 'dorong', 'kontribusi', 'peran', 'perempuan']"
51,"['hardiknas', 'rutan', 'jeneponto', 'gelar', 'upacara', 'bendera', 'peringati', 'hari', 'pendidikan', 'nasional', 'selengkapnya', 'baca', 'di']"
52,"['hai', 'sohisebagai', 'tempat', 'banyak', 'pertemuan', 'konferensi', 'internasional', 'seperti', 'imf', 'world', 'bank', 'serta', 'ktt']"
