,tweet_tokens
156,"['selamat', 'memperingati', 'hari', 'kebangkitan', 'nasional', 'harkitnas', 'ke', 'harkitnas', 'inidiplomasi', 'indonesianway', 'indone']"
157,"['selamat', 'memperingati', 'hari', 'kebangkitan', 'nasional', 'harkitnas', 'ke', 'harkitnas', 'inidiplomasi', 'indonesianway']"
158,"['selaras', 'dengan', 'tujuan', 'indonesia', 'untuk', 'meninggalkan', 'warisan', 'nyata', 'yang', 'tahan', 'lama', 'dan', 'berkelanjutan', 'women', 'in']"
159,"['semoga', 'semua', 'ini', 'bisa', 'membawa', 'manfaat', 'untuk', 'indonesia', 'sebagai', 'pemimpin', 'industri', 'elektrifikasi', 'dan', 'kehidupan', 'dengan', 'ikli']"
160,"['semoga', 'semua', 'ini', 'bisa', 'membawa', 'manfaat', 'untuk', 'indonesia', 'sebagai', 'pemimpin', 'industri', 'elektrifikasi', 'dan', 'kehidupan', 'dengan']"
161,"['sepertinya', 'di', 'bali', 'saat', 'gindonesiaakan', 'ada', 'keputusan', 'dari', 'yang', 'bisa', 'lebih']"
162,"['serta', 'keterampilan', 'masa', 'depan', 'bagi', 'perempuan', 'empower', 'juga', 'mendapat', 'bantuan', 'dari', 'bcg', 'boston', 'consulting', 'group']"
163,"['sherpa', 'track', 'merupakan', 'forum', 'khusus', 'pada', 'yang', 'disiapkan', 'untuk', 'membahas', 'isuisu', 'ekonomi', 'non', 'keuangan', 'panduan', 'pe']"
164,"['sherpa', 'track', 'merupakan', 'forum', 'khusus', 'pada', 'yang', 'disiapkan', 'untuk', 'membahas', 'isuisu', 'ekonomi', 'non', 'keuangan', 'panduan', 'pembaha']"
165,"['sherpa', 'track', 'salah', 'satu', 'forum', 'khusus', 'gindonesia']"
166,"['sobatrupiah', 'bi', 'mendorong', 'kerja', 'sama', 'digitalisasi', 'sistem', 'pembayaran', 'antarnegara', 'melalui', 'agenda', 'presidensi', 'gindonesi']"
167,"['sobatrupiah', 'bi', 'mendorong', 'kerja', 'sama', 'digitalisasi', 'sistem', 'pembayaran', 'antarnegara', 'melalui', 'agenda', 'presidensi']"
168,"['sobatrupiah', 'inklusi', 'keuangan', 'merupakan', 'salah', 'satu', 'fokus', 'pembahasan', 'dalam', 'presidensi', 'gindonesia', 'hmmm', 'su']"
169,"['sobatrupiah', 'inklusi', 'keuangan', 'merupakan', 'salah', 'satu', 'fokus', 'pembahasan', 'dalam', 'presidensi', 'gindonesia', 'hmmm', 'sudah']"
170,"['talk', 'show', 'safeguarding', 'naturetalk', 'show', 'ii', 'promoting', 'circular', 'economyyuk', 'segera', 'daftarkan', 'dirimu', 'melalui', 'lin']"
171,"['talk', 'show', 'safeguarding', 'naturetalk', 'show', 'ii', 'promoting', 'circular', 'economyyuk', 'segera', 'daftarkan', 'dirimu', 'melalui', 'link', 'ber']"
172,"['telaga', 'waja', 'mangrove', 'forest', 'area', 'benoa', 'bay', 'nusa', 'dua', 'bali', 'recovertogetherrecoverstronger', 'gindonesia']"
173,"['terlebih', 'lagi', 'sektor', 'energi', 'merupakan', 'kontributor', 'perubahan', 'iklim', 'paling', 'dominan', 'yang', 'menyumbang', 'hampir', 'dari', 'emisi']"
174,"['ternyata', 'ada', 'hubungan', 'dengan', 'bonus', 'demografi', 'dalam', 'beberapa', 'tahun', 'ke', 'depan', 'loh', 'lpsindonesia', 'amanadalps', 'lpsamanadat', 'sa']"
175,"['terpilih', 'sebagai', 'juru', 'bicara', 'presidensi', 'di', 'maudy', 'ayunda', 'memaparkan', 'isu', 'transisi', 'energi', 'yang', 'sudah', 'disiapkan']"
176,"['tertarik', 'pada', 'isu', 'seputar', 'transformasi', 'digital', 'dan', 'inklusi', 'keuangan', 'yuk', 'saksikan', 'seminar', 'internasional', 'igital', 'transf']"
177,"['terus', 'ikuti', 'perkembangan', 'dan', 'informasi', 'terkini', 'seputar', 'pelaksanaan', 'dewg', 'melalui', 'media', 'sosial', 'kami', 'ya', 'xgindonesia', 'pulihbersama']"
178,"['terus', 'ikuti', 'perkembangan', 'dan', 'informasi', 'terkini', 'seputar', 'pelaksanaan', 'dewg', 'melalui', 'media', 'sosial', 'kami', 'ya', 'xgindonesia']"
179,"['timmarves', 'yuk', 'kita', 'kunjungi', 'salah', 'satu', 'lokasi', 'acara', 'untuk', 'mempromosikan', 'produk', 'umkm', 'yaitu', 'bali', 'co']"
180,"['timmarves', 'yuk', 'kita', 'kunjungi', 'salah', 'satu', 'lokasi', 'acara', 'untuk', 'mempromosikan', 'produk', 'umkm', 'yaitu', 'bali', 'collect']"
181,"['transisi', 'energi', 'berkelanjutan', 'merupakan', 'salah', 'satu', 'isu', 'prioritas', 'yang', 'diangkat', 'pada', 'forum', 'presidensi', 'indonesia', 'foru']"
182,"['tujuan', 'kegiatan', 'ini', 'yakni', 'membuka', 'wawasan', 'tentang', 'peran', 'perempuan', 'dalam', 'usaha', 'kecil', 'menengah', 'hingga', 'mengidentifi']"
183,"['umkm', 'merupakan', 'salah', 'satu', 'sektor', 'yg', 'paling', 'terdampak', 'oleh', 'pandemi', 'utk', 'pulihbersama', 'presidensi', 'gindonesia', 'mene']"
184,"['umkm', 'merupakan', 'salah', 'satu', 'sektor', 'yg', 'paling', 'terdampak', 'oleh', 'pandemi', 'utk', 'pulihbersama', 'presidensi', 'gindonesia', 'menetapk']"
185,"['update', 'kasus', 'covid', 'di', 'thailand', 'per', 'mei', 'pada', 'hari', 'ini', 'terdapat', 'kasus', 'baru', 'orang', 'sembuh', 'dan']"
186,"['unjuk', 'rasa', 'yang', 'diikuti', 'ribuan', 'pekerja', 'yang', 'tergabung', 'dalam', 'serikat', 'pekerja', 'freeport', 'itu', 'sekaligus', 'menandai', 'aksi', 'mo']"
187,"['unjuk', 'rasa', 'yang', 'diikuti', 'ribuan', 'pekerja', 'yang', 'tergabung', 'dalam', 'serikat', 'pekerja', 'freeport', 'itu', 'sekaligus', 'menandai', 'aksi', 'mogok', 'ke']"
188,"['untuk', 'itu', 'setiap', 'negara', 'memerlukan', 'kerangka', 'inklusi', 'keuangan', 'untuk', 'mendorong', 'digitalisasi', 'yang', 'berdampak', 'pada', 'peni']"
189,"['untuk', 'itu', 'setiap', 'negara', 'memerlukan', 'kerangka', 'inklusi', 'keuangan', 'untuk', 'mendorong', 'digitalisasi', 'yang', 'berdampak', 'pada', 'peningkat']"
190,"['versi', 'budaya', 'jawa', 'dengan', 'thailand', 'nihh', 'numpang', 'rame', 'di', 'gindonesia', 'thailandopen', 'thailand', 'wayang', 'polisi']"
191,"['sispreneur', 'merupakan', 'program', 'inkubasi', 'umkm', 'milik', 'perempuan', 'dari', 'yang', 'bertujuan', 'untuk', 'membantu']"
192,"['xl', 'axiata', 'bangga', 'dapat', 'menjadi', 'bagian', 'dalam', 'acara', 'yg', 'diselenggarakan', 'oleh', 'empower', 'perempuan', 'di', 'ukm', 'sebagai', 'pe']"
193,"['xl', 'axiata', 'bangga', 'dapat', 'menjadi', 'bagian', 'dalam', 'acara', 'yg', 'diselenggarakan', 'oleh', 'empower', 'perempuan', 'di', 'ukm', 'sebagai', 'pengge']"
194,"['yuk', 'bergabung', 'dalam', 'kegiatan', 'nd', 'side', 'event', 'development', 'working', 'group', 'dwg', 'dengan', 'temamemperkuat', 'daya', 'sain']"
195,"['yuk', 'bergabung', 'dalam', 'kegiatan', 'nd', 'side', 'event', 'development', 'working', 'group', 'dwg', 'dengan', 'temamemperkuat', 'daya', 'saing', 'umk']"
196,"['yuk', 'jadi', 'bagian', 'dari', 'dengan', 'mengikuti', 'nd', 'side', 'event', 'yang', 'diadakan', 'oleh', 'empower', 'dengan', 'tema']"
197,"['yuk', 'jadi', 'bagian', 'dari', 'dengan', 'mengikuti', 'nd', 'side', 'event', 'yang', 'diadakan', 'oleh', 'empower', 'dengan', 'temarebu']"
198,"['yuk', 'sahabatbahari', 'kita', 'dukung', 'kegiatan', 'dewg', 'dan', 'kenalkan', 'kuliner', 'daerah', 'kepada', 'dunia', 'gindonesia', 'gkkp', 'kkpaccele']"
199,"['yuk', 'sahabatbahari', 'kita', 'dukung', 'kegiatan', 'dewg', 'dan', 'kenalkan', 'kuliner', 'daerah', 'kepada', 'dunia', 'gindonesia', 'gkkp']"
200,"['yuk', 'simak', 'video', 'berikut', 'untuk', 'tau', 'lebih', 'lanjut', 'mengenai', 'pasar', 'ekologis', 'argowijil', 'yogyakarta']"
201,"['dengan', 'memastikan', 'bahwa', 'sistem', 'moneter', 'secara', 'fundamental', 'tetap', 'berlaku', 'sebagai', 'barang', 'publik', 'termasuk', 'harus', 'menjaga']"
202,"['kepada', 'uratas', 'pencerahan', 'agama', 'islam', 'yang', 'menyejukan', 'mencerdaskan', 'dan', 'inklusif', 'aaamiiin', 'llohumma', 'aaamiiin']"
203,"['ndonesiamaju', 'kamibersamajokowi', 'jokowidodo', 'indonesiamaju', 'indonesiamaju', 'gindonesia']"
204,"['tidak', 'hanya', 'berupaya', 'mewujudkan', 'transformasi', 'digital', 'di', 'dalam', 'negeri', 'namun', 'juga', 'memperjuangkannya', 'pada', 'meja']"
205,"['untuk', 'mempromosikan', 'strategi', 'percepatan', 'inklusi', 'keuanganvideo', 'belajartanpabataskitapemelajarumkm']"
206,"['untuk', 'mempromosikan', 'strategi', 'percepatan', 'inklusi', 'keuanganvideo', 'belajartanpabataskitapemelajarumkmgindonesia']"
