tanggal,teks
2022-05-20 13:19:07+00:00,"b'RT @Kemdikbud_RI: Dua pencapaian sudah diraih, namun masih ada 2 agenda prioritas EdWG lainnya yang akan dibahas, yaitu Solidaritas &amp; Kemit\xe2\x80\xa6'"

2022-05-20 12:35:50+00:00,"b'Telaga Waja Mangrove Forest Area, Benoa Bay, Nusa Dua, Bali. \n#RecoverTogetherRecoverStronger \n#G20Indonesia\xe2\x80\xa6 https://t.co/CO3rX9zVdk'"

2022-05-20 12:29:23+00:00,"b'Dukungan terhadap #UMKMgodigital_goglobal menjadi pembahasan utama KKI tahun 2022 ini. Selain itu, kegiatan ini jug\xe2\x80\xa6 https://t.co/9jwV9j1XXv'"

2022-05-20 12:23:50+00:00,b'Bagaimana menurut Anda tentang rencana renovasi kubah gedung DPR? \n\nStreaming 24 jam di kanal youtube\xe2\x80\xa6 https://t.co/2MAHZyNgiW'

2022-05-20 11:53:53+00:00,b'RT @antaranews: Mendikbudristek akan sampaikan berbagai terobosan Merdeka Belajar dalam pertemuan kedua EdWG G20. \n\n#G20Indonesia #Presiden\xe2\x80\xa6'

2022-05-20 11:53:51+00:00,b'Finalisasi Dokumen untuk Persidangan Pergantian Perwalian Anak Almh. Farah.\n\nBerita selengkapnya silahkan klik link\xe2\x80\xa6 https://t.co/29mKewjcw0'

2022-05-20 11:51:33+00:00,b'RT @KATADATAcoid: Mendikbud Ristek Nadiem Makarim akan memperkenalkan program Merdeka Belajar kepada negara-negara G20 pada hari ini dan be\xe2\x80\xa6'

2022-05-20 11:34:50+00:00,b'Pertemuan kedua Kelompok Kerja Pendidikan atau Education Working Group (EdWG) G20 membahas mengenai peningkatan kap\xe2\x80\xa6 https://t.co/puHDLpFtk6'

2022-05-20 11:34:36+00:00,b'Pertemuan G20 Education Working Group (EdWG) yang membahas dua agenda prioritas dan inisiatif Kemendikbudristek (\xe2\x80\xa6 https://t.co/ffJ7AJANPo'

2022-05-20 11:24:19+00:00,"b'RT @kemenkomarves: #TimMarves, yuk kita kunjungi salah satu lokasi acara @Indonesia_G20 untuk mempromosikan produk UMKM, yaitu Bali Collect\xe2\x80\xa6'"

2022-05-20 11:11:38+00:00,b'RT @antaranews: Mendikbudristek akan sampaikan berbagai terobosan Merdeka Belajar dalam pertemuan kedua EdWG G20. \n\n#G20Indonesia #Presiden\xe2\x80\xa6'

2022-05-20 11:09:10+00:00,b'RT @KATADATAcoid: Mendikbud Ristek Nadiem Makarim akan memperkenalkan program Merdeka Belajar kepada negara-negara G20 pada hari ini dan be\xe2\x80\xa6'

2022-05-20 10:43:53+00:00,b'RT @antaranews: Mendikbudristek akan sampaikan berbagai terobosan Merdeka Belajar dalam pertemuan kedua EdWG G20. \n\n#G20Indonesia #Presiden\xe2\x80\xa6'

2022-05-20 10:42:23+00:00,b'RT @KATADATAcoid: Mendikbud Ristek Nadiem Makarim akan memperkenalkan program Merdeka Belajar kepada negara-negara G20 pada hari ini dan be\xe2\x80\xa6'

2022-05-20 10:38:11+00:00,b'RT @antaranews: Mendikbudristek akan sampaikan berbagai terobosan Merdeka Belajar dalam pertemuan kedua EdWG G20. \n\n#G20Indonesia #Presiden\xe2\x80\xa6'

2022-05-20 10:36:43+00:00,b'RT @KATADATAcoid: Mendikbud Ristek Nadiem Makarim akan memperkenalkan program Merdeka Belajar kepada negara-negara G20 pada hari ini dan be\xe2\x80\xa6'

2022-05-20 10:32:03+00:00,"b'UPDATE KASUS COVID-19 DI THAILAND PER 20 Mei 2022\nPada hari ini terdapat 6.463 kasus baru, 7.091 orang sembuh dan 4\xe2\x80\xa6 https://t.co/fCx57OhnVj'"

2022-05-20 10:24:54+00:00,b'RT @antaranews: Mendikbudristek akan sampaikan berbagai terobosan Merdeka Belajar dalam pertemuan kedua EdWG G20. \n\n#G20Indonesia #Presiden\xe2\x80\xa6'

2022-05-20 10:23:56+00:00,b'RT @KATADATAcoid: Mendikbud Ristek Nadiem Makarim akan memperkenalkan program Merdeka Belajar kepada negara-negara G20 pada hari ini dan be\xe2\x80\xa6'

2022-05-20 10:06:07+00:00,b'RT @KATADATAcoid: Mendikbud Ristek Nadiem Makarim akan memperkenalkan program Merdeka Belajar kepada negara-negara G20 pada hari ini dan be\xe2\x80\xa6'

2022-05-20 10:03:20+00:00,b'@antaranews Keren banget\nMas Memtri dengan Program Merdeka Belajarnya\n\n#G20Indonesia #PresidensiIndonesia'

2022-05-20 10:01:10+00:00,b'RT @antaranews: Mendikbudristek akan sampaikan berbagai terobosan Merdeka Belajar dalam pertemuan kedua EdWG G20. \n\n#G20Indonesia #Presiden\xe2\x80\xa6'

2022-05-20 10:00:06+00:00,b'RT @KATADATAcoid: Mendikbud Ristek Nadiem Makarim akan memperkenalkan program Merdeka Belajar kepada negara-negara G20 pada hari ini dan be\xe2\x80\xa6'

2022-05-20 10:00:02+00:00,b'RT @antaranews: Mendikbudristek akan sampaikan berbagai terobosan Merdeka Belajar dalam pertemuan kedua EdWG G20. \n\n#G20Indonesia #Presiden\xe2\x80\xa6'

2022-05-20 09:40:17+00:00,b'Planet yg layak huni utk smua manusia tanpa pandang status ekonomi? #G20Indonesia https://t.co/PXd4W0snLn'

2022-05-20 09:38:47+00:00,b'Sherpa track salah satu forum khusus #G20Indonesia https://t.co/2ozzlBCNEW'

2022-05-20 09:30:46+00:00,"b'#TimMarves, yuk kita kunjungi salah satu lokasi acara @Indonesia_G20 untuk mempromosikan produk UMKM, yaitu Bali Co\xe2\x80\xa6 https://t.co/CxuMOunb41'"

2022-05-20 09:23:48+00:00,b'RT @indonesiainCMB: Selamat memperingati Hari Kebangkitan Nasional (Harkitnas) ke-114.\n\n#Harkitnas2022 #Inidiplomasi #Indonesianway #Indone\xe2\x80\xa6'

2022-05-20 08:48:40+00:00,b'Kemendikbudristek menekankan pentingnya transformasi berbasis gotong royong untuk pemulihan pendidikan.\n#G20\xe2\x80\xa6 https://t.co/vnP8nwkGGs'

2022-05-20 08:01:44+00:00,"b'Private finance dalam mewujudkan pembangunan berkelanjutan di negara-negara berkembang, Least Developing Countries\xe2\x80\xa6 https://t.co/h7F3vpOcyr'"

2022-05-20 08:01:43+00:00,"b'Kegiatan ini akan membahas tantangan serta upaya yang perlu dilakukan dalam memperkuat produktivitas, daya saing &amp;\xe2\x80\xa6 https://t.co/tZ5wUgEG2Q'"

2022-05-20 08:01:43+00:00,b'Yuk! Bergabung dalam kegiatan 2nd Side Event G20 Development Working Group  (DWG) dengan tema \xe2\x80\x9cMemperkuat Daya Sain\xe2\x80\xa6 https://t.co/0ZzRaiOsAL'

2022-05-20 06:50:32+00:00,"b'RT @bank_indonesia: UMKM merupakan salah satu sektor yg paling terdampak oleh pandemi. Utk #PulihBersama, Presidensi #G20Indonesia menetapk\xe2\x80\xa6'"

2022-05-20 06:38:00+00:00,b'Selamat memperingati Hari Kebangkitan Nasional (Harkitnas) ke-114.\n\n#Harkitnas2022 #Inidiplomasi #Indonesianway\xe2\x80\xa6 https://t.co/AU2ZeoiQlo'

2022-05-20 06:08:15+00:00,"b'Dua pencapaian sudah diraih, namun masih ada 2 agenda prioritas EdWG lainnya yang akan dibahas, yaitu Solidaritas &amp;\xe2\x80\xa6 https://t.co/dzh91bxI9r'"

2022-05-20 06:08:11+00:00,"b'#SahabatDikbud, pertemuan G20 Education Working Group (EdWG) yg membahas 2 agenda prioritas dan inisiatif Kemendikb\xe2\x80\xa6 https://t.co/XTbyZ5y3pI'"

2022-05-20 06:06:58+00:00,"b'Melalui berbagai terobosan Merdeka Belajar, pemulihan pembelajaran dilakukan antara lain dengan menghadirkan Kuriku\xe2\x80\xa6 https://t.co/zdOxPBDgyq'"

2022-05-20 06:06:57+00:00,"b'Dalam hal ini, ekosistem pendidikan Indonesia, secara bergotong royong telah melakukan akselerasi transformasi seba\xe2\x80\xa6 https://t.co/TiMyKkqK97'"

2022-05-20 06:06:56+00:00,"b'@Kemdikbud_RI menetapkan Kota Bandung, Jawa Barat sebagai lokasi penyelenggaraan pertemuan kedua Kelompok Kerja Pen\xe2\x80\xa6 https://t.co/RjCUY0aZJp'"

2022-05-20 05:35:00+00:00,b'RT @buruhpapua28: Unjuk rasa yang diikuti ribuan pekerja yang tergabung dalam serikat pekerja Freeport itu sekaligus menandai aksi mogok ke\xe2\x80\xa6'

2022-05-20 05:24:10+00:00,b'Menteri Keuangan Sri Mulyani telah melakukan pertemuan kedua Finance Ministers and Central Bank Governors (FMCBG) G\xe2\x80\xa6 https://t.co/MgFMvHlUuG'

2022-05-20 05:23:20+00:00,b'Menteri Keuangan Sri Mulyani telah melakukan pertemuan kedua Finance Ministers and Central Bank Governors (FMCBG) G\xe2\x80\xa6 https://t.co/qxLP3rygVi'

2022-05-20 05:17:37+00:00,b'Delegasi DEWG G20 berupaya atasi kesenjangan digital dengan membahas perangkat untuk mengukur keterampilan dan lite\xe2\x80\xa6 https://t.co/PpukafovyD'

2022-05-20 05:03:28+00:00,"b'RT @Nien1708: Mantuul...\xf0\x9f\x91\x8c\nMakanan tersebut dihidangkan Secara menarik khususnya Paduan warna , sehingga Mengundang perhatian para Delegasi\xe2\x80\xa6'"

2022-05-20 05:00:03+00:00,b'Dunia pendidikan mengalami masalah pada dua tahun terakhir pandemi Covid-19. Salah satu masalah yang menjadi perhat\xe2\x80\xa6 https://t.co/BgJKzApV30'

2022-05-20 04:56:43+00:00,b'RT @Indonesia_G20: Dalam rangka meningkatkan upaya strategis gabungan untuk mempercepat transisi energi &amp; mengurangi emisi karbon yang seja\xe2\x80\xa6'

2022-05-20 04:56:39+00:00,b'RT @Indonesia_G20: Pertemuan kedua mendasari agenda pembahasan pada agenda pertemuan ketiga di Labuan Bajo 20-21 Juli 2022. Presidensi G20\xe2\x80\xa6'

