tanggal,teks
2022-02-22 11:08:46+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-22 11:00:01+00:00,b'Yuk nonton event balap penuh aksi &amp; sensasi\xf0\x9f\x91\x8d #MotoGPSeri2 #SirkuitMandalika sirkuit kebanggaan Indonesia di bulan M\xe2\x80\xa6 https://t.co/uQEvHlUtOe'

2022-02-22 10:58:43+00:00,"b'Hai Para Pelaku Usaha,\n\nYuk ikut ikuti UMK Camp yang diadakan Badan POM via Zoom Meeting dan Live Streaming Youtube\xe2\x80\xa6 https://t.co/vx6X1CcRkH'"

2022-02-22 08:23:46+00:00,"b'RT @toycrane24: Kalo ada yg masih cari homestay buat MotoGP Mandalika nanti, bisa samber tweet ini atau bapak @bangjombi ya. Kami ada reser\xe2\x80\xa6'"

2022-02-22 08:20:37+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-22 06:54:04+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-22 06:05:23+00:00,"b'Tahukah kamu, #SobatKom? Setiap sirkuit perlu memenuhi berbagai prosedur keselamatan, tak terkecuali dgn Sirkuit Ma\xe2\x80\xa6 https://t.co/fWlyKhXSAX'"

2022-02-22 05:18:00+00:00,"b'Airlangga Hartarto sebut, perkiraan official crew dan Pembalap untuk MotoGP pada Maret 2022 di Mandalika sebanyak 2\xe2\x80\xa6 https://t.co/MrzhuDLvkM'"

2022-02-22 04:24:47+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-22 04:10:24+00:00,"b'Kalo ada yg masih cari homestay buat MotoGP Mandalika nanti, bisa samber tweet ini atau bapak @bangjombi ya. Kami a\xe2\x80\xa6 https://t.co/gO3erEaQsL'"

2022-02-22 04:06:03+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-22 02:13:04+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-22 01:48:32+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-21 23:36:37+00:00,"b'Kunjungi Tiga Masjid Bersejarah di Aceh Cocok Dijadikan Wisata Religi, Mau Tahu?\n@jokowi @sandiuno @acehprov\xe2\x80\xa6 https://t.co/Cp86EA39la'"

2022-02-21 23:24:07+00:00,b'LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP\xe2\x80\xa6 https://t.co/mD7PybhdTP'

2022-02-21 23:21:59+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-21 23:08:14+00:00,b'LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP\xe2\x80\xa6 https://t.co/TDAj4EePYO'

2022-02-21 23:06:51+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

